,gain
D_42_first,377
P_2_last,351
S_3_mean,281
D_39_last,263
D_43_last,247
B_37_last,245
D_39_max,231
D_43_mean,229
B_3_last,217
B_4_last,213
D_121_first,203
D_47_last,199
S_3_last,197
B_4_max,192
D_44_last_minus_mean,190
D_48_last_minus_mean,189
S_15_mean,186
D_79_last_minus_mean,178
B_4_last_minus_mean,176
P_2_max,172
D_39_last_minus_mean,169
B_4_std,164
P_3_mean,161
S_24_last_minus_mean,161
D_46_last_minus_mean,161
D_46_first,159
D_47_first,155
S_11_mean,152
R_3_mean,152
B_37_last_minus_mean,150
P_3_std,150
D_41_last_minus_mean,149
S_12_mean,148
D_43_std,146
R_1_mean,144
B_4_last_minus_first,143
D_48_last,142
D_39_last_minus_first,141
B_9_last_minus_mean,139
D_46_last,138
B_9_last,136
S_23_std,134
P_2_first,133
D_65_mean,132
B_23_last,132
P_3_max,132
R_11_mean,131
B_5_last,131
S_9_mean,129
D_39_mean,128
B_3_std,128
D_50_mean,127
P_2_last_minus_mean,126
B_23_std,125
D_46_mean,125
B_3_last_minus_mean,125
B_2_mean,124
D_51_mean,122
S_26_std,122
S_11_max,122
S_7_last_minus_mean,122
D_45_first,121
S_7_last,121
S_8_mean,119
D_59_std,118
D_44_std,117
B_14_last_minus_mean,117
D_124_first,117
P_2_std,116
D_79_mean,115
R_11_last_minus_mean,114
D_46_std,114
D_79_std,114
D_48_mean,114
D_48_last_minus_first,113
B_3_last_minus_first,112
S_12_last_minus_mean,112
D_78_last_minus_mean,111
D_80_last_minus_mean,110
D_65_max,109
D_75_std,109
S_3_std,109
D_41_last_minus_first,108
B_36_mean,108
D_70_std,107
S_3_max,107
D_48_std,106
S_7_mean,106
B_15_last_minus_mean,105
D_70_mean,105
D_43_last_minus_first,104
B_17_std,104
D_62_std,104
D_50_max,104
P_3_first,103
P_3_last,102
D_131_mean,102
B_5_last_minus_mean,101
B_17_mean,101
B_40_max,101
D_62_mean,100
D_55_last_minus_mean,100
S_27_std,100
D_59_last_minus_mean,100
D_107_last_minus_mean,99
D_52_mean,97
D_43_max,97
D_43_first,97
D_59_last,96
D_43_last_minus_mean,96
S_23_last_minus_mean,95
R_3_last,95
D_52_last_minus_mean,95
D_144_last_minus_mean,95
D_44_last_minus_first,94
D_112_last_minus_mean,94
B_22_mean,94
D_61_std,93
D_122_mean,93
R_3_last_minus_mean,93
P_3_last_minus_first,93
R_10_last_minus_mean,93
B_37_std,93
S_13_last_minus_mean,93
D_61_max,92
S_15_std,92
D_60_mean,92
D_119_first,91
D_105_last,91
D_119_min,91
R_1_last,90
D_115_std,90
B_19_std,90
S_5_last_minus_mean,90
D_61_last_minus_mean,89
S_3_last_minus_mean,89
B_2_last,89
D_62_last_minus_mean,88
R_16_mean,88
D_122_last_minus_mean,88
S_9_std,88
B_9_mean,88
D_48_first,88
B_2_std,87
D_47_std,87
B_40_last_minus_mean,87
P_3_min,87
B_3_mean,87
D_145_last_minus_mean,87
D_105_first,87
S_9_last,86
S_23_last,86
B_23_mean,86
D_61_mean,86
B_9_std,86
B_17_last,86
B_20_last_minus_mean,86
D_113_last_minus_mean,86
B_17_last_minus_mean,86
D_69_last_minus_mean,85
D_65_last_minus_mean,85
B_17_last_minus_first,85
R_3_std,85
S_12_max,85
B_37_mean,85
D_58_std,83
D_142_std,83
B_40_last,83
D_60_last_minus_mean,83
D_46_min,83
S_27_last_minus_first,83
R_27_last_minus_mean,83
D_48_max,83
D_79_last,83
D_140_mean,82
B_5_mean,82
S_9_last_minus_mean,82
S_3_last_minus_first,82
R_8_last_minus_mean,82
B_14_last,82
B_19_last_minus_mean,82
S_27_mean,81
S_5_mean,81
B_22_std,81
D_50_last_minus_mean,81
R_24_last_minus_mean,81
B_10_last_minus_mean,81
D_44_mean,81
S_7_std,81
B_25_last_minus_mean,81
D_77_std,81
B_3_max,80
D_56_first,80
D_75_last_minus_mean,79
S_3_min,79
B_33_last_minus_mean,79
D_55_std,79
S_15_last_minus_mean,79
B_36_std,78
B_38_std,78
S_27_last_minus_mean,78
B_23_last_minus_mean,78
S_23_mean,78
D_78_mean,78
D_41_mean,78
D_61_last_minus_first,78
D_143_last_minus_mean,78
R_1_last_minus_mean,77
D_61_last,77
D_71_mean,77
D_70_last_minus_mean,77
D_83_last_minus_mean,77
B_16_last_minus_mean,77
D_140_last_minus_mean,77
D_142_first,77
D_104_last_minus_mean,77
D_102_last_minus_mean,76
P_3_last_minus_mean,76
S_16_last_minus_mean,76
D_53_last_minus_mean,76
S_7_max,76
D_133_last_minus_mean,76
R_2_last_minus_mean,76
D_41_last,75
S_11_std,75
S_24_mean,75
D_129_last_minus_mean,75
S_7_last_minus_first,74
S_17_last_minus_mean,74
D_91_mean,74
B_9_last_minus_first,74
R_5_last_minus_mean,74
D_55_last_minus_first,73
B_19_mean,72
D_124_last_minus_mean,72
S_25_mean,72
D_50_last,72
D_125_last_minus_mean,72
D_58_last_minus_first,71
D_46_max,71
D_44_last,71
S_8_max,71
B_21_mean,71
S_3_first,71
D_59_first,71
D_69_mean,71
D_60_last_minus_first,71
B_8_last_minus_mean,70
D_59_last_minus_first,70
B_23_last_minus_first,70
D_51_last_minus_mean,70
D_56_last,70
B_23_max,69
D_62_min,69
R_16_last_minus_mean,69
B_40_mean,69
B_2_last_minus_mean,69
D_123_last_minus_mean,69
S_25_min,69
D_128_last_minus_mean,69
S_9_max,68
S_8_last_minus_mean,68
D_53_std,68
D_109_last_minus_mean,68
B_28_mean,68
D_71_last_minus_mean,68
D_60_std,68
D_61_first,68
B_41_last_minus_mean,68
P_2_last_minus_first,68
B_21_last_minus_mean,68
D_113_std,68
S_8_last,67
S_11_last_minus_first,67
D_131_last_minus_mean,67
B_28_std,67
B_17_min,67
B_4_first,66
S_25_last_minus_mean,66
S_23_last_minus_first,66
R_27_first,66
B_37_last_minus_first,66
D_112_std,66
D_117_mean,66
D_72_mean,66
D_119_std,66
R_22_mean,65
R_15_last_minus_mean,65
D_50_std,65
D_123_mean,65
D_119_last,65
D_77_last_minus_mean,65
S_12_last,65
R_10_mean,64
B_32_last_minus_mean,64
D_133_mean,64
B_12_last_minus_mean,64
B_38_last_minus_mean,64
D_42_std,64
S_8_std,64
D_66_first,64
R_3_last_minus_first,64
D_130_last_minus_mean,64
S_12_last_minus_first,63
P_4_last_minus_mean,63
B_13_last_minus_mean,63
D_104_mean,63
S_27_max,63
D_43_min,63
R_22_last_minus_mean,63
D_54_mean,63
D_121_std,63
D_77_first,62
D_105_mean,62
R_15_mean,62
B_9_max,62
R_14_last_minus_mean,62
R_4_last_minus_mean,62
R_12_last_minus_mean,62
D_56_min,62
D_56_max,62
S_20_last_minus_mean,62
B_6_mean,62
D_131_std,61
B_17_first,61
B_28_last_minus_mean,61
D_115_max,61
R_3_max,61
B_36_last_minus_mean,61
S_24_last,61
S_11_last,61
D_119_max,61
D_72_std,61
S_8_last_minus_first,61
D_60_last,60
D_120_last_minus_mean,60
D_80_std,60
D_129_std,60
D_91_last_minus_mean,60
D_102_std,60
S_7_first,59
D_61_min,59
S_13_std,59
B_6_last_minus_mean,59
B_6_last_minus_first,59
B_37_max,59
S_5_max,59
B_14_std,59
S_13_last_minus_first,59
B_37_min,59
S_11_last_minus_mean,59
D_121_last_minus_mean,59
S_15_max,59
B_18_last_minus_mean,59
B_24_mean,58
D_77_last,58
D_56_std,58
D_119_last_minus_mean,58
D_112_mean,58
D_53_mean,58
S_26_last_minus_mean,58
S_19_last_minus_mean,58
S_24_last_minus_first,58
B_18_last,58
D_115_last_minus_mean,58
R_21_last_minus_mean,58
S_12_min,58
D_105_last_minus_mean,57
D_48_min,57
S_11_first,57
D_58_last_minus_mean,57
D_133_std,57
B_5_max,57
D_117_std,57
B_16_std,57
B_19_last_minus_first,56
R_8_mean,56
B_38_mean,56
B_22_last_minus_mean,56
S_26_max,56
B_14_mean,56
D_124_std,56
R_17_last_minus_mean,56
D_72_last_minus_mean,56
S_25_last,56
D_92_last_minus_mean,56
R_26_first,55
S_18_last_minus_mean,55
D_80_mean,55
R_6_last_minus_mean,55
D_102_mean,55
D_50_first,55
D_47_last_minus_mean,55
B_4_min,55
D_62_max,55
S_7_min,55
B_24_last_minus_mean,55
D_125_mean,55
B_26_mean,54
D_86_last_minus_mean,54
R_26_std,54
S_20_mean,54
D_42_last_minus_mean,54
R_18_last_minus_mean,54
D_89_last_minus_mean,54
B_26_last_minus_mean,54
R_7_last_minus_mean,54
B_25_std,53
B_10_mean,53
B_13_std,53
D_56_last_minus_mean,53
B_15_mean,52
R_20_last_minus_mean,52
D_104_std,52
D_133_max,52
D_102_max,52
B_2_min,52
D_46_last_minus_first,52
S_27_first,52
D_54_last_minus_mean,52
D_52_min,52
D_82_last_minus_mean,51
S_6_last_minus_mean,51
D_81_last_minus_mean,51
R_23_last_minus_mean,51
R_19_last_minus_mean,51
D_52_std,51
D_115_last,51
B_25_last,51
D_62_last,51
D_144_mean,50
S_9_min,50
B_8_std,50
B_15_std,50
D_84_last_minus_mean,50
S_18_mean,50
B_18_mean,49
D_62_first,49
B_18_std,49
B_20_std,49
S_9_last_minus_first,49
D_96_last_minus_mean,49
D_58_max,49
R_14_mean,49
R_5_mean,49
D_102_first,49
R_26_last,49
D_105_std,49
D_52_last,49
B_18_last_minus_first,48
B_41_mean,48
S_5_last_minus_first,48
D_91_std,48
D_77_min,48
D_55_first,48
R_6_mean,48
S_6_mean,48
B_12_std,47
S_25_last_minus_first,47
D_142_last_minus_mean,47
B_2_last_minus_first,47
D_117_last_minus_mean,47
R_3_first,47
B_10_last,47
S_5_first,47
D_127_last_minus_mean,46
B_33_mean,46
R_21_mean,46
B_25_mean,46
S_9_first,46
D_130_std,46
B_32_mean,46
D_54_std,46
B_5_last_minus_first,46
D_102_last_minus_first,46
D_112_last,46
R_28_mean,46
B_23_min,45
P_4_mean,45
B_23_first,45
D_127_mean,45
B_10_max,44
D_115_last_minus_first,44
S_15_last_minus_first,44
D_144_std,44
S_13_mean,44
R_25_mean,44
R_25_last_minus_mean,44
S_16_mean,44
D_86_mean,44
D_122_std,44
B_40_last_minus_first,43
D_75_last,43
D_93_last_minus_mean,42
R_11_last,42
D_119_last_minus_first,42
B_9_first,42
R_1_max,42
S_25_max,42
S_25_first,42
D_58_first,42
S_15_last,42
D_62_last_minus_first,42
S_24_min,41
S_20_std,41
R_7_mean,41
D_107_std,41
B_24_last_minus_first,41
D_52_max,41
S_8_first,41
D_50_last_minus_first,41
B_25_last_minus_first,40
D_52_last_minus_first,40
D_51_last,40
D_74_last_minus_first,40
D_51_std,40
B_16_last_minus_first,40
B_40_min,40
B_20_last_minus_first,40
R_12_std,40
D_68_last_minus_mean,40
D_140_std,40
S_17_mean,40
D_133_last,40
D_58_last,39
D_122_last,39
D_84_mean,39
D_80_last_minus_first,39
R_4_mean,39
P_4_std,39
D_56_last_minus_first,38
R_1_last_minus_first,38
D_93_mean,38
R_24_mean,38
D_128_std,38
B_21_max,38
D_81_mean,38
D_81_std,38
S_24_max,38
D_60_max,38
R_12_mean,38
D_115_first,38
R_2_last,38
D_145_std,37
B_32_std,37
S_11_min,37
B_10_min,37
B_33_std,37
D_77_last_minus_first,37
D_131_last,37
D_60_min,37
D_83_std,37
D_115_min,37
D_89_mean,37
B_28_first,36
D_50_min,36
B_28_max,36
B_24_last,36
D_76_last,36
D_55_last,36
B_20_mean,36
D_96_mean,36
R_19_mean,36
D_60_first,35
S_27_min,35
S_12_first,35
B_27_last_minus_mean,35
R_11_last_minus_first,35
B_28_last_minus_first,35
D_71_std,35
D_71_last,35
D_47_last_minus_first,35
B_3_min,35
S_6_std,35
R_2_mean,35
R_28_last_minus_mean,35
R_13_last_minus_mean,35
R_5_last,34
R_13_mean,34
D_122_last_minus_first,34
R_17_mean,34
D_133_last_minus_first,34
B_18_min,34
D_92_mean,34
S_19_std,34
B_9_min,34
D_52_first,33
S_5_last,33
D_76_last_minus_mean,33
S_15_first,33
D_76_first,33
B_14_max,33
B_13_max,33
B_30_last_minus_mean,33
B_2_max,33
B_13_last_minus_first,33
B_28_last,32
D_123_last_minus_first,32
D_70_last_minus_first,32
R_3_min,32
B_6_last,32
D_144_last_minus_first,32
B_19_max,32
B_22_last,32
B_10_last_minus_first,31
D_143_std,31
D_94_last_minus_mean,31
R_20_mean,31
S_15_min,31
R_23_mean,31
D_39_first,31
S_8_min,31
D_94_mean,31
S_26_last_minus_first,31
D_117_first,30
B_14_min,30
D_68_mean,30
B_8_min,30
B_20_last,30
S_27_last,30
D_41_max,30
R_7_last,30
D_102_last,30
S_23_min,30
D_69_last,30
S_17_last_minus_first,30
D_122_first,30
R_18_std,29
B_26_max,29
R_26_last_minus_first,29
D_68_std,29
D_53_last,29
D_122_min,29
D_79_last_minus_first,29
D_123_first,29
D_53_first,29
D_96_std,28
D_44_max,28
B_14_last_minus_first,28
B_10_first,28
S_13_max,28
D_105_last_minus_first,28
R_6_max,28
S_13_last,28
D_129_last,28
S_26_last,28
B_6_max,28
D_78_last_minus_first,27
B_15_last,27
S_5_min,27
D_53_last_minus_first,27
B_27_std,27
B_27_mean,27
D_75_last_minus_first,27
D_75_first,27
R_18_mean,26
R_14_max,26
B_25_first,26
D_145_first,26
D_66_last_minus_mean,26
D_127_std,26
B_12_last_minus_first,26
R_28_std,26
D_69_min,25
B_25_max,25
S_16_max,25
D_78_last,25
D_71_min,25
D_145_last_minus_first,25
D_86_std,25
B_16_max,25
D_69_last_minus_first,25
S_18_std,25
D_54_last,25
D_71_last_minus_first,25
D_112_last_minus_first,24
R_19_std,24
B_36_last,24
D_65_last_minus_first,24
D_93_std,24
D_64_last,24
D_109_std,24
D_140_last,24
D_120_mean,23
D_104_last_minus_first,23
S_19_mean,23
S_24_first,23
D_76_std,23
B_12_first,23
D_92_std,23
B_6_min,23
S_16_first,23
B_5_first,23
D_113_first,23
D_133_first,23
B_37_first,23
D_102_min,22
B_18_first,22
B_5_min,22
B_12_last,22
R_6_last,22
D_117_max,22
D_70_last,22
D_124_last_minus_first,22
D_58_min,21
B_16_first,21
P_4_last_minus_first,21
D_45_last_minus_first,21
B_14_first,21
B_30_mean,20
D_91_last,20
B_25_min,20
R_16_last,20
B_30_std,20
D_70_max,20
B_8_first,20
D_129_last_minus_first,20
D_122_max,20
B_24_max,20
D_144_last,20
B_15_last_minus_first,20
D_72_last_minus_first,20
R_5_last_minus_first,20
S_26_first,20
B_15_min,20
B_15_max,19
D_44_first,19
B_22_last_minus_first,19
B_28_min,19
D_83_last_minus_first,19
B_2_first,19
D_117_last,19
D_96_last_minus_first,19
B_19_first,19
R_16_last_minus_first,19
R_7_last_minus_first,18
D_113_last,18
B_3_first,18
D_42_last_minus_first,18
D_107_last,18
B_8_last,18
D_51_max,18
B_6_first,18
D_71_first,18
B_20_first,18
B_15_first,18
D_71_max,18
D_63_nunique,18
B_17_max,18
R_11_max,17
B_13_first,17
S_16_last_minus_first,17
D_75_min,17
B_36_max,17
R_12_last_minus_first,17
D_129_min,17
D_53_min,17
D_80_first,17
D_91_first,17
R_15_last_minus_first,17
D_68_last,16
D_41_first,16
R_6_last_minus_first,16
D_65_last,16
D_131_max,16
B_38_last_minus_first,16
D_70_first,16
D_128_first,16
D_82_std,16
B_21_last_minus_first,15
R_7_max,15
B_8_last_minus_first,15
S_17_first,15
R_2_last_minus_first,15
D_44_min,15
D_82_last_minus_first,15
D_82_last,15
D_114_last,15
D_133_min,15
P_4_first,15
B_33_first,14
D_78_max,14
D_120_last,14
D_120_std,14
R_10_last_minus_first,14
D_82_first,14
D_125_first,14
D_126_std,14
B_13_last,14
D_84_last_minus_first,14
R_4_last_minus_first,13
D_70_min,13
R_6_first,13
D_143_last_minus_first,13
D_51_min,13
D_83_first,13
D_104_min,13
R_12_last,13
D_143_first,13
D_79_max,13
D_114_std,12
B_21_last,12
S_17_max,12
R_21_last_minus_first,12
D_117_min,12
S_16_last,12
D_68_first,12
D_80_max,12
D_113_max,12
B_36_last_minus_first,12
D_80_last,12
B_19_min,12
B_18_max,12
B_38_max,12
B_26_last_minus_first,12
D_68_last_minus_first,12
B_26_last,12
S_6_last_minus_first,12
D_131_last_minus_first,12
D_131_first,12
D_107_min,11
D_109_last_minus_first,11
D_126_mean,11
D_41_min,11
D_91_last_minus_first,11
D_79_first,11
B_8_max,11
R_8_max,11
D_144_first,11
D_126_first,11
B_33_last,11
D_125_last_minus_first,11
D_113_last_minus_first,11
D_51_last_minus_first,11
D_140_last_minus_first,11
D_104_last,11
B_20_max,11
D_63_last,11
D_121_last_minus_first,11
D_142_last_minus_first,11
R_16_max,11
D_94_std,11
B_32_last_minus_first,10
D_128_last_minus_first,10
D_144_max,10
D_81_last_minus_first,10
R_11_first,10
D_54_max,10
D_83_last,10
B_22_min,10
D_92_last_minus_first,10
D_64_count,10
D_130_first,10
D_117_last_minus_first,10
D_127_last_minus_first,10
D_107_max,10
D_51_first,10
D_114_last_minus_mean,9
S_20_last_minus_first,9
R_27_last_minus_first,9
R_2_first,9
D_86_last,9
R_10_max,9
D_104_max,9
B_24_first,9
S_18_last_minus_first,9
R_16_first,9
R_8_first,9
D_54_first,9
D_78_first,9
D_107_last_minus_first,9
S_19_last,9
D_39_min,9
S_17_last,9
D_91_min,9
D_65_first,9
D_80_min,8
B_38_last,8
D_143_last,8
D_76_last_minus_first,8
S_6_last,8
D_104_first,8
D_107_first,8
R_13_last_minus_first,8
R_4_last,8
R_14_last,8
D_66_last_minus_first,8
D_130_last,8
D_113_min,8
B_41_last_minus_first,8
D_129_first,8
D_128_last,8
D_125_last,8
B_26_first,8
D_93_last_minus_first,8
D_68_max,8
R_20_last,8
R_20_first,8
D_54_last_minus_first,8
R_8_last_minus_first,8
R_20_last_minus_first,7
D_123_max,7
D_116_last_minus_mean,7
D_86_last_minus_first,7
R_17_last_minus_first,7
D_81_first,7
R_18_first,7
D_72_max,7
S_19_first,7
B_36_first,7
R_12_first,7
B_32_last,7
B_22_first,7
S_13_first,7
B_33_last_minus_first,7
R_22_last_minus_first,7
B_21_first,7
D_112_first,7
R_24_last_minus_first,6
D_92_first,6
R_14_last_minus_first,6
R_14_first,6
R_12_min,6
D_89_first,6
R_19_last_minus_first,6
S_19_last_minus_first,6
D_96_first,6
D_84_max,6
D_96_last,6
D_94_last,6
D_144_min,6
D_140_first,6
D_127_first,6
B_16_min,6
D_112_max,6
R_10_first,6
B_20_min,6
D_114_first,6
D_72_last,6
D_127_last,6
D_126_min,6
P_4_last,6
B_38_first,6
B_41_last,5
B_31_mean,5
R_7_first,5
D_112_min,5
R_28_last_minus_first,5
B_24_min,5
R_1_first,5
D_68_min,5
D_126_last_minus_mean,5
B_31_last_minus_mean,5
D_86_first,5
D_120_max,5
D_120_first,5
D_94_last_minus_first,5
S_20_last,5
B_27_last_minus_first,5
D_72_min,5
S_13_min,5
D_79_min,5
D_93_first,5
R_24_last,5
R_5_max,5
B_27_last,5
B_38_min,5
D_120_min,4
R_25_last_minus_first,4
D_72_first,4
D_94_first,4
R_22_last,4
R_25_first,4
D_54_min,4
D_125_max,4
R_19_first,4
R_23_first,4
R_13_first,4
B_41_first,4
R_5_first,4
D_83_max,4
D_109_first,4
D_84_last,4
D_81_max,4
R_4_first,4
R_23_last_minus_first,4
S_26_min,4
R_21_min,4
R_18_last,3
D_125_min,3
D_123_last,3
B_22_max,3
D_126_max,3
B_32_first,3
D_93_last,3
R_17_first,3
R_17_last,3
R_17_max,3
D_127_max,3
D_129_max,3
S_18_first,3
D_120_last_minus_first,3
B_30_max,3
B_27_first,3
D_84_first,3
R_15_last,3
D_140_min,3
R_2_max,3
B_32_min,3
S_17_min,3
D_92_last,3
B_30_last_minus_first,3
R_10_last,3
R_13_max,3
S_6_min,3
D_89_last,3
R_18_last_minus_first,3
R_21_first,2
S_6_first,2
B_21_min,2
R_4_min,2
B_30_last,2
R_6_min,2
R_19_last,2
D_83_min,2
S_18_min,2
D_109_last,2
B_26_min,2
D_86_max,2
R_23_last,2
D_114_last_minus_first,2
R_5_min,2
D_64_nunique,2
D_140_max,2
S_20_min,2
D_91_max,2
R_25_last,2
R_28_last,2
D_89_last_minus_first,2
B_33_min,2
D_81_last,2
B_31_last_minus_first,2
R_20_max,2
B_36_min,2
R_22_first,2
R_11_min,2
D_131_min,2
R_28_max,2
R_28_first,1
R_10_min,1
D_92_max,1
D_96_max,1
R_15_first,1
R_2_min,1
B_30_first,1
R_12_max,1
D_130_last_minus_first,1
D_86_min,1
S_18_max,1
R_16_min,1
R_28_min,1
B_41_max,1
D_126_last_minus_first,1
D_89_min,1
R_22_max,1
B_31_first,1
D_78_min,1
R_20_min,1
D_123_min,1
R_25_min,1
R_24_first,1
D_116_mean,1
D_93_max,1
R_24_min,1
S_6_max,1
S_19_max,1
R_21_last,1
R_21_max,1
B_27_max,1
B_27_min,1
B_31_min,1
S_16_min,1
D_96_min,1
B_33_max,0
R_25_max,0
R_7_min,0
D_92_min,0
R_14_min,0
D_116_first,0
D_116_max,0
R_15_min,0
R_8_min,0
D_89_max,0
D_93_min,0
R_15_max,0
R_1_min,0
D_84_min,0
R_4_max,0
S_20_first,0
R_18_min,0
R_24_max,0
S_20_max,0
D_116_last,0
R_18_max,0
R_22_min,0
R_17_min,0
D_126_last,0
R_23_min,0
R_23_max,0
B_31_max,0
D_116_last_minus_first,0
S_19_min,0
B_41_min,0
D_94_max,0
S_18_last,0
R_19_min,0
R_19_max,0
R_13_min,0
B_30_min,0
D_94_min,0
D_127_min,0
B_32_max,0
D_116_min,0
D_81_min,0
